Type,Metric,Pearson_r,Pearson_p,Spearman_r,Spearman_p
PS,DRV,-0.9249929468668201,0.0750070531331799,-1.0,0.0
PS,SE-MSE,0.9632733098109968,0.0367266901890031,0.7999999999999999,0.20000000000000007
TSM,DRV,-0.3132475830797087,0.6077829479477455,-0.19999999999999998,0.747060078104662
TSM,SE-MSE,0.6262782449688972,0.25832755566914617,0.7999999999999999,0.10408803866182788
