Algorithm,Type,Avg. Memory,Std. Memory
LibrosaPS,PS,12.642719237009684,6.0156799169142205
NMPS,PS,86.98998476664225,34.79199214462655
PSOLA,PS,50.652840785980224,7.01334947015016
PVPS,PS,5.848567365010579,2.2564483133976587
HPS,TSM,38.66421552022298,15.479465068805204
NM,TSM,86.99012734731038,34.79198284110142
PV,TSM,25.079188416798907,13.225790817725539
RES,TSM,1.199767297108968,0.6670813694546731
TSMNET,TSM,76.10413523991903,33.46908660376237
