Algorithm,Type,Avg. Speed,Std. Speed
LibrosaPS,PS,0.05537596246281944,0.027803270500820768
NMPS,PS,1.8277085859527191,0.727569447603883
PSOLA,PS,1.6042183652385913,0.6160513384295081
PVPS,PS,2.7406162192916184,1.4830304204140563
HPS,TSM,0.36823120278601223,0.16737663297458194
NM,TSM,1.9804247941063562,0.780213390444199
PV,TSM,0.21772142966037303,0.12161613167251008
RES,TSM,0.0017919270257309799,0.0007512767276215684
TSMNET,TSM,0.07824305619571043,0.0467184138703175
