type,metric,algo,factor,score
ps,decay_rate,PSOLA,7,1.8327818274711787
ps,decay_rate,PVPS,7,3.457385653004266
ps,decay_rate,NMPS,7,1.6364846668853859
ps,decay_rate,LibrosaPS,7,1.9237367757905621
ps,se_mse,PSOLA,7,145.42288208007812
ps,se_mse,PVPS,7,37.84342956542969
ps,se_mse,NMPS,7,203.3006134033203
ps,se_mse,LibrosaPS,7,112.99032592773438
ps,decay_rate,PSOLA,12,1.5838304163690806
ps,decay_rate,PVPS,12,3.5326153204314443
ps,decay_rate,NMPS,12,1.722637652104526
ps,decay_rate,LibrosaPS,12,1.9315381522074195
ps,se_mse,PSOLA,12,62.38072967529297
ps,se_mse,PVPS,12,67.90219116210938
ps,se_mse,NMPS,12,80.90280151367188
ps,se_mse,LibrosaPS,12,17.54315757751465
ps,decay_rate,PSOLA,rt_up,1.6540392341275827
ps,decay_rate,PVPS,rt_up,3.7729508073236078
ps,decay_rate,NMPS,rt_up,1.451819440898124
ps,decay_rate,LibrosaPS,rt_up,2.27598656240862
ps,se_mse,PSOLA,rt_up,74.50875854492188
ps,se_mse,PVPS,rt_up,72.72844696044922
ps,se_mse,NMPS,rt_up,254.69158935546875
ps,se_mse,LibrosaPS,rt_up,153.73182678222656
ps,decay_rate,PSOLA,rt_down,1.451612350773902
ps,decay_rate,PVPS,rt_down,3.930093361136203
ps,decay_rate,NMPS,rt_down,1.992673283985458
ps,decay_rate,LibrosaPS,rt_down,1.9574995092688738
ps,se_mse,PSOLA,rt_down,68.12354278564453
ps,se_mse,PVPS,rt_down,74.22978210449219
ps,se_mse,NMPS,rt_down,210.5157470703125
ps,se_mse,LibrosaPS,rt_down,221.66439819335938
tsm,decay_rate,HPS,rt_up,2.0936220116431272
tsm,decay_rate,PV,rt_up,3.7169274736890707
tsm,decay_rate,TSMNET,rt_up,-0.301728593347353
tsm,decay_rate,NM,rt_up,4.290503149959632
tsm,decay_rate,RES,rt_up,0.0038807747524252896
tsm,se_mse,HPS,rt_up,9.583571434020996
tsm,se_mse,PV,rt_up,3.2202208042144775
tsm,se_mse,TSMNET,rt_up,163.62171936035156
tsm,se_mse,NM,rt_up,25.731657028198242
tsm,se_mse,RES,rt_up,6.388544716173783e-05
tsm,decay_rate,HPS,rt_down,4.363793601602461
tsm,decay_rate,PV,rt_down,3.734751885753255
tsm,decay_rate,TSMNET,rt_down,0.013527234670251504
tsm,decay_rate,NM,rt_down,5.268155840709547
tsm,decay_rate,RES,rt_down,0.08282144559306184
tsm,se_mse,HPS,rt_down,26.800840377807617
tsm,se_mse,PV,rt_down,9.749496459960938
tsm,se_mse,TSMNET,rt_down,253.24302673339844
tsm,se_mse,NM,rt_down,58.289039611816406
tsm,se_mse,RES,rt_down,6.351093179546297e-05
ps,decay_rate,PSOLA,-12,4.5201364583696675
ps,decay_rate,PVPS,-12,9.213620936965063
ps,decay_rate,NMPS,-12,6.121988489854149
ps,decay_rate,LibrosaPS,-12,6.352068396962924
ps,se_mse,PSOLA,-12,8.53346061706543
ps,se_mse,PVPS,-12,98.31365203857422
ps,se_mse,NMPS,-12,79.0429458618164
ps,se_mse,LibrosaPS,-12,51.96068572998047
ps,decay_rate,PSOLA,7,4.5278256706566795
ps,decay_rate,PVPS,7,3.6417403586722523
ps,decay_rate,NMPS,7,1.9448329060782805
ps,decay_rate,LibrosaPS,7,1.642997938958507
ps,se_mse,PSOLA,7,61.363494873046875
ps,se_mse,PVPS,7,18.951711654663086
ps,se_mse,NMPS,7,70.6568374633789
ps,se_mse,LibrosaPS,7,47.06929016113281
ps,decay_rate,PSOLA,12,4.916315774686121
ps,decay_rate,PVPS,12,3.98666800765398
ps,decay_rate,NMPS,12,5.6875278522520984
ps,decay_rate,LibrosaPS,12,3.8033053988082988
ps,se_mse,PSOLA,12,45.96958923339844
ps,se_mse,PVPS,12,36.38689422607422
ps,se_mse,NMPS,12,17.31426429748535
ps,se_mse,LibrosaPS,12,7.633092403411865
ps,decay_rate,PSOLA,rt_up,3.693124530677969
ps,decay_rate,PVPS,rt_up,5.178914063260502
ps,decay_rate,NMPS,rt_up,3.948776509277259
ps,decay_rate,LibrosaPS,rt_up,2.6989588178342254
ps,se_mse,PSOLA,rt_up,51.663658142089844
ps,se_mse,PVPS,rt_up,39.10334014892578
ps,se_mse,NMPS,rt_up,90.35159301757812
ps,se_mse,LibrosaPS,rt_up,86.39130401611328
ps,decay_rate,PSOLA,rt_down,3.9038594467678154
ps,decay_rate,PVPS,rt_down,4.017568026126687
ps,decay_rate,NMPS,rt_down,4.539293827908568
ps,decay_rate,LibrosaPS,rt_down,2.6422479711655757
ps,se_mse,PSOLA,rt_down,44.03730773925781
ps,se_mse,PVPS,rt_down,36.58369064331055
ps,se_mse,NMPS,rt_down,89.0414810180664
ps,se_mse,LibrosaPS,rt_down,58.638702392578125
