algorithm,type,speed,speed_iterations,memory,memory_iterations,audio_length,sample_rate,factor
HPS,TSM,0.5735975300000064,10,34613289.0,2,3.4287708333333335,48000,2
PV,TSM,0.4004479499999434,10,31978213.0,2,3.4287708333333335,48000,2
NMPS,PS,2.6999987312592566e-07,10,16.0,2,3.4287708333333335,48000,2
